    ROW ID,SHOW ID,SHOW,Status,PRODUCTION TYPE,OPENING  DATE,CLOSING  DATE,# of  PERFORMANCES,PRODUCTION NOTES,PERSON ID,LAST NAME,FIRST NAME,Lifespan if deceased,Role,Person Start Date,Person End Date,PREFIX,WEBSITE,INTERNET BROADWAY DATABASE,LINK TO PHOTO,Photo Credit,PERSON FUN FACTS
221,S0142,Moulin Rouge! The Musical,Running,Original,7/25/2019,,1985,,P0062,Ling,Lily,,Music Director / Conductor,4/1/2023,6/30/2023,,,https://www.ibdb.com/broadway-cast-staff/lily-ling-517858,https://flerlageapps.com/Women-Conductors/P0062.jpg,Photo by Alejandro Ibarra,
222,S0142,Moulin Rouge! The Musical,Running,Original,7/25/2019,,1985,,P0066,McBride,Julie,,Music Director / Conductor,9/1/2021,,,,https://www.ibdb.com/broadway-cast-staff/julie-mcbride-501316,https://flerlageapps.com/Women-Conductors/P0066.jpg,,
223,S0142,Moulin Rouge! The Musical,Running,Original,7/25/2019,,1985,,P0078,Scolpini,Anessa Marie,,Substitute Conductor,1/1/2023,12/31/2024,,https://www.anessamarie.com/,https://www.ibdb.com/broadway-cast-staff/anessa-marie-scolpini-542352,https://flerlageapps.com/Women-Conductors/P0078.jpg,,
224,S0143,Mrs. Doubtfire,Closed,Original,4/19/2022,5/29/2022,48,,P0005,Atkins,Ilana M.,,Associate Conductor,,,,https://www.ilanaatkins.com/,https://www.ibdb.com/broadway-cast-staff/ilana-m-atkins-524981,https://flerlageapps.com/Women-Conductors/P0005.jpg,,
225,S0144,My Favorite Year,Closed,Original,12/10/1992,1/10/1993,36,,P0075,Rosenberg,Jan,1953-2010,Associate Conductor,,,,,https://www.ibdb.com/broadway-cast-staff/jan-rosenberg-72997,https://flerlageapps.com/Women-Conductors/P0075.jpg,,
226,S0145,My Love Letter to Broadway,Closed,Original,11/2/2016,11/13/2016,12,,P0020,Campbell,Mary-Mitchell,,Music Director / Conductor,,,,https://www.marymitchellcampbell.com/,https://www.ibdb.com/broadway-cast-staff/mary-mitchell-campbell-423557,https://flerlageapps.com/Women-Conductors/P0020.jpg,,
227,S0146,Nash at Nine,Closed,Original,5/17/1973,6/2/1973,21,,P0048,Gustafson,Karen,,Music Director,,,,,https://www.ibdb.com/broadway-cast-staff/karen-gustafson-90439,https://flerlageapps.com/Women-Conductors/P0048.jpg,Karen Gustafson (left) and Dorothea Freitag (right),"Broadway's first female pit pianist (The Vamp, 1955)"
228,S0147,"Natasha, Pierre & the Great Comet of 1812",Closed,Original,11/14/2016,9/3/2017,336,,P0103,Zervoulis Bate,Meg,,Assistant Conductor,1/1/2017,,,https://www.megzmusic.com/,https://www.ibdb.com/broadway-cast-staff/meg-zervoulis-518150,https://flerlageapps.com/Women-Conductors/P0103.jpg,Photo by Priyanca Rao,
229,S0148,Oklahoma,Closed,Revival,3/21/2002,2/23/2003,388,,P0036,duChateau,Annbritt,,Assistant Conductor,1/1/2003,2/23/2003,,https://www.annbrittduchateau.com/,https://www.ibdb.com/broadway-cast-staff/annbritt-duchateau-112939,https://flerlageapps.com/Women-Conductors/P0036.jpg,,
230,S0149,Once on This Island,Closed,Revival,12/3/2017,1/6/2019,457,,P0095,Victory,Annastasia,,Substitute Conductor,,,,https://www.annastasiavictory.com/,https://www.ibdb.com/broadway-cast-staff/annastasia-victory-532731,https://flerlageapps.com/Women-Conductors/P0095.jpg,,
